Ice/Psychic,1,1,1,1,1,2,2,2,2,2,1,1,1,0.5,0.5,1,2,1
Psychic,1,0.5,1,1,1,1,2,2,1,1,1,1,1,0.5,1,1,2,1
Water/Dragon,1,1,1,1,1,1,1,1,0.5,0.25,0.25,1,1,1,1,2,1,2
Steel/Fairy,0.5,1,0.5,0,2,0.5,0.25,1,1,2,1,0.5,1,0.5,0.5,0,0.5,0.5
Steel,0.5,2,0.5,0,2,0.5,0.5,1,0.5,2,1,0.5,1,0.5,0.5,0.5,1,0.5
Poison,1,0.5,1,0.5,0,1,0.5,1,1,1,1,0.5,1,2,1,1,1,0.5
Dragon/Ice,1,2,1,1,1,2,1,1,2,1,0.5,0.5,0.5,1,1,2,1,2
Water/Electric,1,1,0.5,1,2,1,1,1,0.25,0.5,0.5,2,1,1,0.5,1,1,1
Bug/Fire,1,0.5,2,1,1,4,0.5,1,0.5,1,2,0.25,1,1,0.5,1,1,0.5
Dragon/Psychic,1,0.5,1,1,0,1,2,2,1,0.5,0.5,0.5,0.5,0.5,2,2,2,2
Rock/Grass,0.5,2,1,1,1,1,2,1,2,1,1,1,0.5,1,2,1,1,1
Fire/Normal,1,2,1,1,2,2,0.5,0,0.5,0.5,2,0.5,1,1,0.5,1,1,0.5
Ghost/Fire,0,0,1,0.5,2,2,0.25,2,0.5,0.5,2,0.5,1,1,0.5,1,2,0.5
Water/Grass,1,1,2,2,0.5,1,2,1,0.5,1,0.25,1,1,1,1,1,1,1
Fighting/Steel,0.5,2,1,0,2,0.25,0.25,1,0.5,2,1,0.5,1,1,0.5,0.5,0.5,1
Psychic/Flying,1,0.25,1,1,0,2,1,2,1,1,1,0.5,2,0.5,2,1,2,1
Fire/Rock,0.5,2,0.5,0.5,4,2,0.5,1,1,0.25,4,1,1,1,0.5,1,1,0.5
Electric/Steel,0.5,2,0.25,0,4,0.5,0.5,1,0.25,2,1,0.5,0.5,0.5,0.5,0.5,1,0.5
Fighting,1,1,2,1,1,0.5,0.5,1,1,1,1,1,1,2,1,1,0.5,2
Water/Fairy,1,0.5,1,2,1,1,0.5,1,1,0.5,0.5,2,2,1,0.5,0,0.5,1
Fighting/Psychic,1,0.5,2,1,1,0.5,1,2,1,1,1,1,1,1,1,1,1,2
Normal/Psychic,1,1,1,1,1,1,2,0,1,1,1,1,1,0.5,1,1,2,1
Psychic/Fairy,1,0.25,1,2,1,1,1,2,2,1,1,1,1,0.5,1,0,1,1
Water,1,1,1,1,1,1,1,1,0.5,0.5,0.5,2,2,1,0.5,1,1,1
Dark/Flying,1,1,1,1,0,2,1,0.5,1,1,1,0.5,2,0,2,1,0.5,2
Poison/Ground,1,0.5,1,0.25,2,0.5,0.5,1,1,1,2,1,0,2,2,1,1,0.5
Bug/Ground,1,0.5,2,0.5,0.5,1,1,1,1,2,2,1,0,1,2,1,1,1
Grass/Dark,1,2,2,2,0.5,1,4,0.5,1,2,0.5,0.5,0.5,0,2,1,0.5,2
Rock/Water,0.5,2,0.5,0.5,2,1,1,1,1,0.25,1,4,2,1,0.5,1,1,1
Bug/Grass,1,0.5,4,2,0.25,2,2,1,1,4,0.5,0.25,0.5,1,2,1,1,1
Normal/Flying,1,1,1,1,0,2,0.5,0,1,1,1,0.5,2,1,2,1,1,1
Electric,1,1,0.5,1,2,1,1,1,0.5,1,1,1,0.5,1,1,1,1,1
Water/Fighting,1,1,2,1,1,0.5,0.5,1,0.5,0.5,0.5,2,2,2,0.5,1,0.5,2
Normal,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
Dragon/Fire,1,1,1,1,2,2,0.5,1,0.5,0.25,1,0.25,0.5,1,1,2,1,1
Dark/Ghost,0,0,1,0.5,1,1,1,1,1,1,1,1,1,0,1,1,1,2
Ground/Dark,1,2,1,0.5,1,0.5,2,0.5,1,1,2,2,0,0,2,1,0.5,2
Ground,1,1,1,0.5,1,0.5,1,1,1,1,2,2,0,1,2,1,1,1
Normal/Grass,1,2,2,2,0.5,1,2,0,1,2,0.5,0.5,0.5,1,2,1,1,1
Bug/Steel,0.5,1,1,0,1,1,0.5,1,0.5,4,1,0.25,1,0.5,0.5,0.5,1,0.5
Dark/Fighting,1,2,2,1,1,0.5,1,0.5,1,1,1,1,1,0,1,1,0.25,4
Bug/Ghost,0,0,2,0,0,2,0,2,0,2,0,0,0,0,0,0,2,0
Rock/Steel,0.25,4,0.25,0,4,0.5,0.5,1,1,1,2,1,1,0.5,0.5,0.5,1,0.5
Bug/Rock,0.5,1,1,0.5,1,2,1,1,2,1,2,1,1,1,1,1,1,1
Ghost,0,0,1,0.5,1,1,0.5,2,1,1,1,1,1,1,1,1,2,1
Steel/Flying,0.5,1,0.5,0,0,1,0.25,1,0.5,2,1,0.25,2,0.5,1,0.5,1,0.5
Water/Psychic,1,0.5,1,1,1,1,2,2,0.5,0.5,0.5,2,2,0.5,0.5,1,2,1
Dark/Ice,1,4,1,1,1,2,2,0.5,2,2,1,1,1,0,0.5,1,0.5,2
Ice,1,2,1,1,1,2,1,1,2,2,1,1,1,1,0.5,1,1,1
Grass/Ice,1,2,2,2,0.5,2,2,1,2,4,0.5,0.5,0.5,1,1,1,1,1
Rock/Psychic,0.5,1,0.5,0.5,0,1,2,2,2,0.5,2,2,1,0.5,1,1,2,1
Water,1,1,1,1,1,1,1,1,0.5,0.5,0.5,2,2,1,0.5,1,1,1
Steel/Ground,0.5,2,0.5,0,2,0.25,0.5,1,0.5,2,2,1,0,0.5,1,0.5,1,0.5
Ground/Electric,1,1,0.5,0.5,2,0.5,1,1,0.5,1,2,2,0,1,2,1,1,1
Poison/Dark,1,1,1,0.5,2,1,1,0.5,1,1,1,0.5,1,0,1,1,0.5,1
Rock,0.5,2,0.5,0.5,2,1,1,1,2,0.5,2,2,1,1,1,1,1,1
Bug/Water,1,0.5,2,1,0.5,2,1,1,0.5,1,0.5,1,2,1,0.5,1,1,1
Ice/Ground,1,2,1,0.5,1,1,1,1,2,2,2,2,0,1,1,1,1,1
Grass,1,1,2,2,0.5,1,2,1,1,2,0.5,0.5,0.5,1,2,1,1,1
Water/Poison,1,0.5,1,0.5,2,1,0.5,1,0.5,0.5,0.5,1,2,2,0.5,1,1,0.5
Rock/Fighting,0.5,2,1,0.5,2,0.5,0.5,1,2,0.5,2,2,1,2,1,1,0.5,2
Fairy/Flying,1,0.25,1,2,0,2,0.25,1,2,1,1,0.5,2,1,2,0,0.5,1
Flying,1,0.5,1,1,0,2,0.5,1,1,1,1,0.5,2,1,2,1,1,1
Grass/Ground,1,1,2,1,0.5,0.5,2,1,1,2,1,1,0,1,4,1,1,1
Ghost/Grass,0,0,2,1,0.5,1,1,2,1,2,0.5,0.5,0.5,1,2,1,2,1
Rock/Dark,0.5,4,0.5,0.5,2,1,2,0.5,2,0.5,2,2,1,0,1,1,0.5,2
Rock/Dragon,0.5,2,0.5,0.5,2,1,1,1,2,0.25,1,1,0.5,1,2,2,1,2
Dark,1,2,1,1,1,1,2,0.5,1,1,1,1,1,0,1,1,0.5,2
Bug/Poison,1,0.25,2,0.5,1,2,0.5,1,1,2,1,0.25,1,2,1,1,1,0.5
Electric/Flying,1,0.5,0.5,1,0,2,0.5,1,0.5,1,1,0.5,1,1,2,1,1,1
Dragon/Electric,1,1,0.5,1,2,1,1,1,0.5,0.5,0.5,0.5,0.25,1,2,2,1,2
Poison/Flying,1,0.25,1,0.5,0,2,0.25,1,1,1,1,0.25,2,2,2,1,1,0.5
Water/Dark,1,2,1,1,1,1,2,0.5,0.5,0.5,0.5,2,2,0,0.5,1,0.5,2
Electric/Ghost,0,0,0.5,0.5,0,1,0.5,2,0.5,1,1,1,0.5,1,1,1,2,1
Electric/Fire,1,1,0.5,1,0,2,0.5,1,0.25,0.5,2,0.5,0.5,1,0.5,1,1,0.5
Electric/Water,1,1,0.5,1,0,1,1,1,0.25,0.5,0.5,2,1,1,0.5,1,1,1
Electric/Ice,1,2,0.5,1,0,2,1,1,1,2,1,1,0.5,1,0.5,1,1,1
Electric/Grass,1,1,1,2,0,1,2,1,0.5,2,0.5,0.5,0.25,1,2,1,1,1
